xvar	variable	value
275	train_tpr	1
275	train_BAccuracy	1
275	train_tnr	1
275	validate_tpr	0.111111111111111
275	validate_BAccuracy	0.555555555555556
275	validate_tnr	1
275	test_tpr	0.222222222222222
275	test_BAccuracy	0.60024154589372
275	test_tnr	0.978260869565217
549	train_tpr	0.964912280701754
549	train_BAccuracy	0.973264963880289
549	train_tnr	0.981617647058823
549	validate_tpr	0.421052631578947
549	validate_BAccuracy	0.688548293811452
549	validate_tnr	0.956043956043956
549	test_tpr	0.473684210526316
549	test_BAccuracy	0.70936957779063
549	test_tnr	0.945054945054945
824	train_tpr	0.976190476190476
824	train_BAccuracy	0.966144018583043
824	train_tnr	0.95609756097561
824	validate_tpr	0.555555555555556
824	validate_BAccuracy	0.741545893719807
824	validate_tnr	0.927536231884058
824	test_tpr	0.5
824	test_BAccuracy	0.713503649635036
824	test_tnr	0.927007299270073
1099	train_tpr	0.949152542372881
1099	train_BAccuracy	0.932986622387919
1099	train_tnr	0.916820702402957
1099	validate_tpr	0.6
1099	validate_BAccuracy	0.758333333333333
1099	validate_tnr	0.916666666666667
1099	test_tpr	0.675
1099	test_BAccuracy	0.779166666666667
1099	test_tnr	0.883333333333333
1373	train_tpr	0.947019867549669
1373	train_BAccuracy	0.924475758440511
1373	train_tnr	0.901931649331352
1373	validate_tpr	0.76
1373	validate_BAccuracy	0.817777777777778
1373	validate_tnr	0.875555555555556
1373	test_tpr	0.67741935483871
1373	test_BAccuracy	0.77031345100426
1373	test_tnr	0.863207547169811
1648	train_tpr	0.919191919191919
1648	train_BAccuracy	0.903970169456895
1648	train_tnr	0.888748419721871
1648	validate_tpr	0.656716417910448
1648	validate_BAccuracy	0.752312581578798
1648	validate_tnr	0.847908745247148
1648	test_tpr	0.72
1648	test_BAccuracy	0.78831541218638
1648	test_tnr	0.85663082437276
1923	train_tpr	0.909502262443439
1923	train_BAccuracy	0.897945129078097
1923	train_tnr	0.886387995712755
1923	validate_tpr	0.744186046511628
1923	validate_BAccuracy	0.798514427938088
1923	validate_tnr	0.852842809364548
1923	test_tpr	0.703125
1923	test_BAccuracy	0.790625
1923	test_tnr	0.878125
2197	train_tpr	0.904
2197	train_BAccuracy	0.888797752808989
2197	train_tnr	0.873595505617977
2197	validate_tpr	0.71875
2197	validate_BAccuracy	0.785030976676385
2197	validate_tnr	0.85131195335277
2197	test_tpr	0.7375
2197	test_BAccuracy	0.797916666666667
2197	test_tnr	0.858333333333333
2472	train_tpr	0.901098901098901
2472	train_BAccuracy	0.890218872037054
2472	train_tnr	0.879338842975207
2472	validate_tpr	0.798076923076923
2472	validate_BAccuracy	0.829807692307692
2472	validate_tnr	0.861538461538462
2472	test_tpr	0.726315789473684
2472	test_BAccuracy	0.783157894736842
2472	test_tnr	0.84
2747	train_tpr	0.857615894039735
2747	train_BAccuracy	0.860457278372022
2747	train_tnr	0.863298662704309
2747	validate_tpr	0.740740740740741
2747	validate_BAccuracy	0.793272864701436
2747	validate_tnr	0.845804988662131
2747	test_tpr	0.765217391304348
2747	test_BAccuracy	0.815942028985507
2747	test_tnr	0.866666666666667
5493	train_tpr	0.848684210526316
5493	train_BAccuracy	0.852541510025063
5493	train_tnr	0.85639880952381
5493	validate_tpr	0.806282722513089
5493	validate_BAccuracy	0.822744885485619
5493	validate_tnr	0.83920704845815
5493	test_tpr	0.810945273631841
5493	test_BAccuracy	0.820188355879466
5493	test_tnr	0.82943143812709
8240	train_tpr	0.838819523269012
8240	train_BAccuracy	0.839665730130691
8240	train_tnr	0.84051193699237
8240	validate_tpr	0.790540540540541
8240	validate_BAccuracy	0.805403406364945
8240	validate_tnr	0.820266272189349
8240	test_tpr	0.817204301075269
8240	test_BAccuracy	0.822042618032156
8240	test_tnr	0.826880934989043
10987	train_tpr	0.837150127226463
10987	train_BAccuracy	0.838028231911772
10987	train_tnr	0.838906336597081
10987	validate_tpr	0.813513513513514
10987	validate_BAccuracy	0.819181496767704
10987	validate_tnr	0.824849480021894
10987	test_tpr	0.7890625
10987	test_BAccuracy	0.815975571940463
10987	test_tnr	0.842888643880926
13734	train_tpr	0.829514824797844
13734	train_BAccuracy	0.833866352600224
13734	train_tnr	0.838217880402605
13734	validate_tpr	0.793859649122807
13734	validate_BAccuracy	0.808976965547872
13734	validate_tnr	0.824094281972938
13734	test_tpr	0.80244399185336
13734	test_BAccuracy	0.815893981742283
13734	test_tnr	0.829343971631206
16480	train_tpr	0.823394495412844
16480	train_BAccuracy	0.829059723148465
16480	train_tnr	0.834724950884086
16480	validate_tpr	0.756802721088435
16480	validate_BAccuracy	0.802145821400938
16480	validate_tnr	0.847488921713442
16480	test_tpr	0.823529411764706
16480	test_BAccuracy	0.82861533134225
16480	test_tnr	0.833701250919794
19227	train_tpr	0.833009708737864
19227	train_BAccuracy	0.834772055719713
19227	train_tnr	0.836534402701562
19227	validate_tpr	0.826409495548961
19227	validate_BAccuracy	0.825850600817685
19227	validate_tnr	0.825291706086408
19227	test_tpr	0.805349182763744
19227	test_BAccuracy	0.820418051829398
19227	test_tnr	0.835486920895052
21974	train_tpr	0.820750738085196
21974	train_BAccuracy	0.827373426935875
21974	train_tnr	0.833996115786553
21974	validate_tpr	0.812834224598931
21974	validate_BAccuracy	0.81702857377465
21974	validate_tnr	0.82122292295037
