xvar	variable	value
275	train_tpr	1
275	train_BAccuracy	0.982758620689655
275	train_tnr	0.96551724137931
275	validate_tpr	0.777777777777778
275	validate_BAccuracy	0.845410628019324
275	validate_tnr	0.91304347826087
275	test_tpr	0.555555555555556
275	test_BAccuracy	0.6256038647343
275	test_tnr	0.695652173913043
549	train_tpr	0.964912280701754
549	train_BAccuracy	0.930985552115583
549	train_tnr	0.897058823529412
549	validate_tpr	0.684210526315789
549	validate_BAccuracy	0.743204164256796
549	validate_tnr	0.802197802197802
549	test_tpr	0.789473684210526
549	test_BAccuracy	0.834297281665703
549	test_tnr	0.879120879120879
824	train_tpr	0.928571428571429
824	train_BAccuracy	0.906968641114983
824	train_tnr	0.885365853658537
824	validate_tpr	0.703703703703704
824	validate_BAccuracy	0.783011272141707
824	validate_tnr	0.86231884057971
824	test_tpr	0.607142857142857
824	test_BAccuracy	0.745177267987487
824	test_tnr	0.883211678832117
1099	train_tpr	0.957627118644068
1099	train_BAccuracy	0.924284908675084
1099	train_tnr	0.8909426987061
1099	validate_tpr	0.825
1099	validate_BAccuracy	0.840277777777778
1099	validate_tnr	0.855555555555556
1099	test_tpr	0.75
1099	test_BAccuracy	0.786111111111111
1099	test_tnr	0.822222222222222
1373	train_tpr	0.920529801324503
1373	train_BAccuracy	0.907516015075327
1373	train_tnr	0.894502228826152
1373	validate_tpr	0.76
1373	validate_BAccuracy	0.82
1373	validate_tnr	0.88
1373	test_tpr	0.758064516129032
1373	test_BAccuracy	0.81299452221546
1373	test_tnr	0.867924528301887
1648	train_tpr	0.944444444444444
1648	train_BAccuracy	0.906482652057873
1648	train_tnr	0.868520859671302
1648	validate_tpr	0.716417910447761
1648	validate_BAccuracy	0.774558765109812
1648	validate_tnr	0.832699619771863
1648	test_tpr	0.78
1648	test_BAccuracy	0.812939068100358
1648	test_tnr	0.845878136200717
1923	train_tpr	0.918552036199095
1923	train_BAccuracy	0.895503242108122
1923	train_tnr	0.872454448017149
1923	validate_tpr	0.720930232558139
1923	validate_BAccuracy	0.785214280158668
1923	validate_tnr	0.849498327759197
1923	test_tpr	0.796875
1923	test_BAccuracy	0.83125
1923	test_tnr	0.865625
2197	train_tpr	0.936
2197	train_BAccuracy	0.901988764044944
2197	train_tnr	0.867977528089888
2197	validate_tpr	0.729166666666667
2197	validate_BAccuracy	0.782950680272109
2197	validate_tnr	0.836734693877551
2197	test_tpr	0.8125
2197	test_BAccuracy	0.829861111111111
2197	test_tnr	0.847222222222222
2472	train_tpr	0.941391941391941
2472	train_BAccuracy	0.912431507886053
2472	train_tnr	0.883471074380165
2472	validate_tpr	0.692307692307692
2472	validate_BAccuracy	0.788461538461538
2472	validate_tnr	0.884615384615385
2472	test_tpr	0.8
2472	test_BAccuracy	0.8125
2472	test_tnr	0.825
2747	train_tpr	0.93046357615894
2747	train_BAccuracy	0.899481416608445
2747	train_tnr	0.86849925705795
2747	validate_tpr	0.759259259259259
2747	validate_BAccuracy	0.804799697656841
2747	validate_tnr	0.850340136054422
2747	test_tpr	0.817391304347826
2747	test_BAccuracy	0.827086456771614
2747	test_tnr	0.836781609195402
5493	train_tpr	0.916118421052632
5493	train_BAccuracy	0.893885103383459
5493	train_tnr	0.871651785714286
5493	validate_tpr	0.827225130890052
5493	validate_BAccuracy	0.832665428881149
5493	validate_tnr	0.838105726872247
5493	test_tpr	0.82089552238806
5493	test_BAccuracy	0.831852443468277
5493	test_tnr	0.842809364548495
8240	train_tpr	0.913734392735528
8240	train_BAccuracy	0.891767516328384
8240	train_tnr	0.86980063992124
8240	validate_tpr	0.834459459459459
8240	validate_BAccuracy	0.841416120262274
8240	validate_tnr	0.848372781065089
8240	test_tpr	0.817204301075269
8240	test_BAccuracy	0.83482567135575
8240	test_tnr	0.852447041636231
10987	train_tpr	0.908396946564885
10987	train_BAccuracy	0.887045323457946
10987	train_tnr	0.865693700351007
10987	validate_tpr	0.837837837837838
10987	validate_BAccuracy	0.845027293303155
10987	validate_tnr	0.852216748768473
10987	test_tpr	0.833333333333333
10987	test_BAccuracy	0.846104373392135
10987	test_tnr	0.858875413450937
13734	train_tpr	0.907681940700809
13734	train_BAccuracy	0.889009709249161
13734	train_tnr	0.870337477797513
13734	validate_tpr	0.824561403508772
13734	validate_BAccuracy	0.843533429820733
13734	validate_tnr	0.862505456132693
13734	test_tpr	0.826883910386965
13734	test_BAccuracy	0.841411813349511
13734	test_tnr	0.855939716312057
16480	train_tpr	0.901949541284404
16480	train_BAccuracy	0.886571528991907
16480	train_tnr	0.871193516699411
16480	validate_tpr	0.835034013605442
16480	validate_BAccuracy	0.853262944764316
16480	validate_tnr	0.871491875923191
16480	test_tpr	0.863321799307958
16480	test_BAccuracy	0.860836764260307
16480	test_tnr	0.858351729212656
19227	train_tpr	0.909223300970874
19227	train_BAccuracy	0.89409033347404
19227	train_tnr	0.878957365977206
19227	validate_tpr	0.85459940652819
19227	validate_BAccuracy	0.859340069079295
19227	validate_tnr	0.864080731630401
19227	test_tpr	0.811292719167905
19227	test_BAccuracy	0.837414402445598
19227	test_tnr	0.86353608572329
21974	train_tpr	0.905103331927457
21974	train_BAccuracy	0.891190341631906
21974	train_tnr	0.877277351336354
21974	validate_tpr	0.838235294117647
21974	validate_BAccuracy	0.850842352296005
21974	validate_tnr	0.863449410474363
21974	test_tpr	0.833333333333333
21974	test_BAccuracy	0.853429355281207
21974	test_tnr	0.873525377229081
24720	train_tpr	0.899110939311944
24720	train_BAccuracy	0.889694301832371
24720	train_tnr	0.880277664352797
24720	validate_tpr	0.839366515837104
24720	validate_BAccuracy	0.854042863829882
24720	validate_tnr	0.86871921182266
24720	test_tpr	0.832044198895028
24720	test_BAccuracy	0.850659385904558
24720	test_tnr	0.869274572914088
27467	train_tpr	0.904582763337893
27467	train_BAccuracy	0.893719531565671
27467	train_tnr	0.882856299793449
27467	validate_tpr	0.853909465020576
27467	validate_BAccuracy	0.859270591833447
27467	validate_tnr	0.864631718646317
27467	test_tpr	0.844142259414226
27467	test_BAccuracy	0.853979459367756
27467	test_tnr	0.863816659321287
