xvar	variable	value
0.8	train_tpr	0.674076607387141
0.8	train_BAccuracy	0.789605432640162
0.8	train_tnr	0.905134257893184
0.8	validate_tpr	0.654320987654321
0.8	validate_BAccuracy	0.776618578321741
0.8	validate_tnr	0.898916168989162
0.8	test_tpr	0.648535564853556
0.8	test_BAccuracy	0.771931951664328
0.8	test_tnr	0.895328338475099
0.85	train_tpr	0.711354309165527
0.85	train_BAccuracy	0.792015307430211
0.85	train_tnr	0.872676305694895
0.85	validate_tpr	0.697530864197531
0.85	validate_BAccuracy	0.7806389114175
0.85	validate_tnr	0.86374695863747
0.85	test_tpr	0.691422594142259
0.85	test_BAccuracy	0.775966916286643
0.85	test_tnr	0.860511238431027
0.9	train_tpr	0.754445964432285
0.9	train_BAccuracy	0.810315339843761
0.9	train_tnr	0.866184715255238
0.9	validate_tpr	0.743827160493827
0.9	validate_BAccuracy	0.803897654566754
0.9	validate_tnr	0.863968148639682
0.9	test_tpr	0.719665271966527
0.9	test_BAccuracy	0.791190062162197
0.9	test_tnr	0.862714852357867
0.92	train_tpr	0.764705882352941
0.92	train_BAccuracy	0.812236387620849
0.92	train_tnr	0.859766892888758
0.92	validate_tpr	0.739711934156379
0.92	validate_BAccuracy	0.794761961327249
0.92	validate_tnr	0.84981198849812
0.92	test_tpr	0.734309623430962
0.92	test_BAccuracy	0.794215190737077
0.92	test_tnr	0.854120758043191
0.93	train_tpr	0.772229822161423
0.93	train_BAccuracy	0.813895967439519
0.93	train_tnr	0.855562112717616
0.93	validate_tpr	0.73559670781893
0.93	validate_BAccuracy	0.791266613144148
0.93	validate_tnr	0.846936518469365
0.93	test_tpr	0.738493723849372
0.93	test_BAccuracy	0.794985072590178
0.93	test_tnr	0.851476421330983
0.95	train_tpr	0.783173734610123
0.95	train_BAccuracy	0.817117997431943
0.95	train_tnr	0.851062260253762
0.95	validate_tpr	0.757201646090535
0.95	validate_BAccuracy	0.799746587256725
0.95	validate_tnr	0.842291528422915
0.95	test_tpr	0.751046025104602
0.95	test_BAccuracy	0.796082730489719
0.95	test_tnr	0.841119435874835
0.98	train_tpr	0.804035567715458
0.98	train_BAccuracy	0.823196597667113
0.98	train_tnr	0.842357627618767
0.98	validate_tpr	0.788065843621399
0.98	validate_BAccuracy	0.811971430990085
0.98	validate_tnr	0.83587701835877
0.98	test_tpr	0.781380753138075
0.98	test_BAccuracy	0.806842866652775
0.98	test_tnr	0.832304980167475
0.99	train_tpr	0.831053351573187
0.99	train_BAccuracy	0.833791650705449
0.99	train_tnr	0.83652994983771
0.99	validate_tpr	0.812757201646091
0.99	validate_BAccuracy	0.821662829975888
0.99	validate_tnr	0.830568458305685
0.99	test_tpr	0.792887029288703
0.99	test_BAccuracy	0.807197150607331
0.99	test_tnr	0.821507271925959
