xvar	variable	value
0.4	train_tpr	0.535645472061657
0.4	train_BAccuracy	0.626220101563211
0.4	train_tnr	0.716794731064764
0.4	validate_tpr	0.494186046511628
0.4	validate_BAccuracy	0.597421970624235
0.4	validate_tnr	0.700657894736842
0.4	test_tpr	0.554973821989529
0.4	test_BAccuracy	0.617045484848754
0.4	test_tnr	0.67911714770798
0.5	train_tpr	0.58766859344894
0.5	train_BAccuracy	0.62588698607683
0.5	train_tnr	0.66410537870472
0.5	validate_tpr	0.529069767441861
0.5	validate_BAccuracy	0.591837515299878
0.5	validate_tnr	0.654605263157895
0.5	test_tpr	0.586387434554974
0.5	test_BAccuracy	0.605587605223157
0.5	test_tnr	0.624787775891341
0.6	train_tpr	0.620423892100193
0.6	train_BAccuracy	0.635129618937034
0.6	train_tnr	0.649835345773875
0.6	validate_tpr	0.575581395348837
0.6	validate_BAccuracy	0.607692013463892
0.6	validate_tnr	0.639802631578947
0.6	test_tpr	0.575916230366492
0.6	test_BAccuracy	0.596956417390377
0.6	test_tnr	0.617996604414261
0.7	train_tpr	0.662813102119461
0.7	train_BAccuracy	0.68074793415523
0.7	train_tnr	0.698682766190999
0.7	validate_tpr	0.575581395348837
0.7	validate_BAccuracy	0.629073592411261
0.7	validate_tnr	0.682565789473684
0.7	test_tpr	0.596858638743455
0.7	test_BAccuracy	0.615916585925208
0.7	test_tnr	0.634974533106961
0.8	train_tpr	0.680154142581888
0.8	train_BAccuracy	0.69957213166416
0.8	train_tnr	0.718990120746433
0.8	validate_tpr	0.575581395348837
0.8	validate_BAccuracy	0.637297276621787
0.8	validate_tnr	0.699013157894737
0.8	test_tpr	0.586387434554974
0.8	test_BAccuracy	0.631903394696842
0.8	test_tnr	0.67741935483871
0.9	train_tpr	0.689788053949904
0.9	train_BAccuracy	0.713993917205468
0.9	train_tnr	0.738199780461032
0.9	validate_tpr	0.593023255813954
0.9	validate_BAccuracy	0.662465575275398
0.9	validate_tnr	0.731907894736842
0.9	test_tpr	0.596858638743455
0.9	test_BAccuracy	0.654965821918417
0.9	test_tnr	0.713073005093379
