xvar	variable	value
1e-05	train_tpr	0.649325626204239
1e-05	train_BAccuracy	0.717911989830989
1e-05	train_tnr	0.786498353457739
1e-05	validate_tpr	0.622093023255814
1e-05	validate_BAccuracy	0.70249388004896
1e-05	validate_tnr	0.782894736842105
1e-05	test_tpr	0.570680628272251
1e-05	test_BAccuracy	0.663948123983324
1e-05	test_tnr	0.757215619694397
5e-05	train_tpr	0.797687861271676
5e-05	train_BAccuracy	0.805539869164927
5e-05	train_tnr	0.813391877058178
5e-05	validate_tpr	0.709302325581395
5e-05	validate_BAccuracy	0.746920899632803
5e-05	validate_tnr	0.784539473684211
5e-05	test_tpr	0.643979057591623
5e-05	test_BAccuracy	0.70059733864301
5e-05	test_tnr	0.757215619694397
7e-05	train_tpr	0.824662813102119
7e-05	train_BAccuracy	0.820125039920983
7e-05	train_tnr	0.815587266739846
7e-05	validate_tpr	0.720930232558139
7e-05	validate_BAccuracy	0.75109011627907
7e-05	validate_tnr	0.78125
7e-05	test_tpr	0.649214659685864
7e-05	test_BAccuracy	0.700668450386226
7e-05	test_tnr	0.752122241086587
8e-05	train_tpr	0.832369942196532
8e-05	train_BAccuracy	0.823978604468189
8e-05	train_tnr	0.815587266739846
8e-05	validate_tpr	0.732558139534884
8e-05	validate_BAccuracy	0.760193543451652
8e-05	validate_tnr	0.787828947368421
8e-05	test_tpr	0.654450261780105
8e-05	test_BAccuracy	0.706681837171886
8e-05	test_tnr	0.758913412563667
1e-04	train_tpr	0.857418111753372
1e-04	train_BAccuracy	0.841716739740572
1e-04	train_tnr	0.826015367727772
1e-04	validate_tpr	0.726744186046512
1e-04	validate_BAccuracy	0.758108935128519
1e-04	validate_tnr	0.789473684210526
1e-04	test_tpr	0.654450261780105
1e-04	test_BAccuracy	0.708379630041156
1e-04	test_tnr	0.762308998302207
2e-04	train_tpr	0.895953757225434
2e-04	train_BAccuracy	0.881566340742245
2e-04	train_tnr	0.867178924259056
2e-04	validate_tpr	0.691860465116279
2e-04	validate_BAccuracy	0.741489443084455
2e-04	validate_tnr	0.791118421052632
2e-04	test_tpr	0.659685863874346
2e-04	test_BAccuracy	0.716090809696086
2e-04	test_tnr	0.772495755517827
5e-04	train_tpr	0.97495183044316
5e-04	train_BAccuracy	0.964149899853852
5e-04	train_tnr	0.953347969264544
5e-04	validate_tpr	0.598837209302326
5e-04	validate_BAccuracy	0.721293604651163
5e-04	validate_tnr	0.84375
5e-04	test_tpr	0.596858638743455
5e-04	test_BAccuracy	0.722877536689215
5e-04	test_tnr	0.848896434634975
0.001	train_tpr	0.996146435452794
0.001	train_BAccuracy	0.989291658999723
0.001	train_tnr	0.982436882546652
0.001	validate_tpr	0.534883720930233
0.001	validate_BAccuracy	0.726323439412485
0.001	validate_tnr	0.917763157894737
0.001	test_tpr	0.544502617801047
0.001	test_BAccuracy	0.72216641925706
0.001	test_tnr	0.899830220713073
0.01	train_tpr	0.998073217726397
0.01	train_BAccuracy	0.991627168687567
0.01	train_tnr	0.985181119648738
0.01	validate_tpr	0.133720930232558
0.01	validate_BAccuracy	0.563570991432069
0.01	validate_tnr	0.993421052631579
0.01	test_tpr	0.115183246073298
0.01	test_BAccuracy	0.550800451559569
0.01	test_tnr	0.98641765704584
0.1	train_tpr	1
0.1	train_BAccuracy	0.992590559824369
0.1	train_tnr	0.985181119648738
0.1	validate_tpr	0.133720930232558
0.1	validate_BAccuracy	0.563570991432069
0.1	validate_tnr	0.993421052631579
0.1	test_tpr	0.120418848167539
0.1	test_BAccuracy	0.55002266686815
0.1	test_tnr	0.979626485568761
