xvar	variable	value
39	train_tpr	0.8
39	train_BAccuracy	0.9
39	train_tnr	1
39	validate_tpr	0
39	validate_BAccuracy	0.5
39	validate_tnr	1
39	test_tpr	0
39	test_BAccuracy	0.5
39	test_tnr	1
78	train_tpr	1
78	train_BAccuracy	0.98780487804878
78	train_tnr	0.975609756097561
78	validate_tpr	0.5
78	validate_BAccuracy	0.678571428571429
78	validate_tnr	0.857142857142857
78	test_tpr	NA
78	test_BAccuracy	NA
78	test_tnr	0.857142857142857
117	train_tpr	0.944444444444444
117	train_BAccuracy	0.956597222222222
117	train_tnr	0.96875
117	validate_tpr	0.2
117	validate_BAccuracy	0.6
117	validate_tnr	1
117	test_tpr	0.5
117	test_BAccuracy	0.65
117	test_tnr	0.8
156	train_tpr	0.892857142857143
156	train_BAccuracy	0.927910052910053
156	train_tnr	0.962962962962963
156	validate_tpr	0.285714285714286
156	validate_BAccuracy	0.601190476190476
156	validate_tnr	0.916666666666667
156	test_tpr	0.5
156	test_BAccuracy	0.642857142857143
156	test_tnr	0.785714285714286
195	train_tpr	0.837837837837838
195	train_BAccuracy	0.908817908817909
195	train_tnr	0.97979797979798
195	validate_tpr	0.2
195	validate_BAccuracy	0.511764705882353
195	validate_tnr	0.823529411764706
195	test_tpr	0.166666666666667
195	test_BAccuracy	0.476190476190476
195	test_tnr	0.785714285714286
234	train_tpr	0.906976744186046
234	train_BAccuracy	0.912166058043437
234	train_tnr	0.917355371900826
234	validate_tpr	0.571428571428571
234	validate_BAccuracy	0.648214285714286
234	validate_tnr	0.725
234	test_tpr	0.5
234	test_BAccuracy	0.573529411764706
234	test_tnr	0.647058823529412
273	train_tpr	0.816326530612245
273	train_BAccuracy	0.876473124461052
273	train_tnr	0.936619718309859
273	validate_tpr	0.333333333333333
273	validate_BAccuracy	0.538759689922481
273	validate_tnr	0.744186046511628
273	test_tpr	0.2
273	test_BAccuracy	0.509090909090909
273	test_tnr	0.818181818181818
312	train_tpr	0.847457627118644
312	train_BAccuracy	0.90800554311907
312	train_tnr	0.968553459119497
312	validate_tpr	0.375
312	validate_BAccuracy	0.546195652173913
312	validate_tnr	0.717391304347826
312	test_tpr	0
312	test_BAccuracy	0.384615384615385
312	test_tnr	0.769230769230769
351	train_tpr	0.90625
351	train_BAccuracy	0.925652472527473
351	train_tnr	0.945054945054945
351	validate_tpr	0.260869565217391
351	validate_BAccuracy	0.534690101757632
351	validate_tnr	0.808510638297872
351	test_tpr	0.3
351	test_BAccuracy	0.55
351	test_tnr	0.8
390	train_tpr	0.891891891891892
390	train_BAccuracy	0.890669564036398
390	train_tnr	0.889447236180904
390	validate_tpr	0.44
390	validate_BAccuracy	0.587924528301887
390	validate_tnr	0.735849056603774
390	test_tpr	0.6
390	test_BAccuracy	0.652941176470588
390	test_tnr	0.705882352941177
780	train_tpr	0.874074074074074
780	train_BAccuracy	0.874993241416599
780	train_tnr	0.875912408759124
780	validate_tpr	0.469387755102041
780	validate_BAccuracy	0.617871447644478
780	validate_tnr	0.766355140186916
780	test_tpr	0.636363636363636
780	test_BAccuracy	0.736092265943012
780	test_tnr	0.835820895522388
1170	train_tpr	0.818652849740933
1170	train_BAccuracy	0.843032495158006
1170	train_tnr	0.86741214057508
1170	validate_tpr	0.607142857142857
